EID;VID;Date;Time;PESO
999 000000119003;;21/9/2022;06:13:47;
999 000000118929;;21/9/2022;06:12:16;
999 000000119033;;21/9/2022;06:18:00;272
999 000000119036;;21/9/2022;06:18:34;203
999 000000118950;;21/9/2022;06:19:59;213
999 000000118908;;21/9/2022;06:22:11;220
999 000000119006;;21/9/2022;06:26:07;197
999 000000118980;;21/9/2022;06:23:53;196
999 000000118935;;21/9/2022;06:26:53;212
999 000000118932;;21/9/2022;06:27:59;229
999 000000118919;;21/9/2022;06:29:07;245
999 000000118939;;21/9/2022;06:30:36;266
999 000000118941;;21/9/2022;06:42:52;190
999 000000118953;;21/9/2022;06:34:37;
964 001030713043;;21/9/2022;07:34:11;
999 000000118945;;21/9/2022;06:43:41;182
999 000000118910;;21/9/2022;06:45:01;199
999 000000118903;;21/9/2022;06:46:47;235
999 000000118994;;21/9/2022;06:49:15;280
999 000000118911;;21/9/2022;06:50:09;209
999 000000118984;;21/9/2022;06:57:45;216
999 000000118967;;21/9/2022;06:55:30;262
999 000000119045;;21/9/2022;06:56:49;221
999 000000118973;;21/9/2022;06:58:18;
999 000000119052;;21/9/2022;07:02:28;215
999 000000118955;;21/9/2022;07:03:17;234
999 000000118930;;21/9/2022;07:02:49;213
999 000000118956;;21/9/2022;07:03:55;257
999 000000118917;;21/9/2022;07:06:00;250
999 000000118965;;21/9/2022;07:05:46;210
999 000000118959;;21/9/2022;07:06:54;169
999 000000118948;;21/9/2022;07:07:38;191
999 000000118978;;21/9/2022;07:08:11;190
999 000000118918;;21/9/2022;07:08:54;208
999 000000118907;;21/9/2022;07:09:44;237
999 000000118952;;21/9/2022;07:10:39;188
999 000000119024;;21/9/2022;07:11:47;196
999 000000118928;;21/9/2022;07:12:26;204
999 000000118985;;21/9/2022;07:14:50;200
999 000000118944;;21/9/2022;07:15:06;225
999 000000118920;;21/9/2022;07:16:30;215
999 000000118958;;21/9/2022;07:19:30;249
999 000000118960;;21/9/2022;07:18:21;237
999 000000118914;;21/9/2022;07:21:05;221
999 000000118942;;21/9/2022;07:21:28;246
999 000000119056;;21/9/2022;07:22:46;211
999 000000118968;;21/9/2022;07:23:50;226
999 000000118976;;21/9/2022;07:25:47;260
999 000000119015;;21/9/2022;07:26:53;180
999 000000118975;;21/9/2022;07:28:51;249
999 000000118905;;21/9/2022;07:29:10;239
999 000000118988;;21/9/2022;07:30:33;197
999 000000118995;;21/9/2022;07:31:30;179
999 000000118992;;21/9/2022;07:32:32;263
999 000000119051;;21/9/2022;07:34:16;242
999 000000119053;;21/9/2022;07:36:54;217
999 000000118946;;21/9/2022;07:38:18;214
999 000000119054;;21/9/2022;07:38:56;240
999 000000118901;;21/9/2022;07:39:55;192
999 000000118957;;21/9/2022;07:40:42;
999 000000119055;;21/9/2022;07:40:57;210
999 000000119057;;21/9/2022;07:42:05;135
999 000000118933;;21/9/2022;07:45:55;232
999 000000118915;;21/9/2022;07:47:07;181
999 000000118974;;21/9/2022;07:48:28;282
999 000000118969;;21/9/2022;07:49:02;250
999 000000118962;;21/9/2022;07:50:20;221
999 000000118902;;21/9/2022;07:51:18;229
999 000000118926;;21/9/2022;07:51:43;186
999 000000118987;;21/9/2022;07:53:11;227
999 000000118970;;21/9/2022;07:54:16;200
999 000000118979;;21/9/2022;07:55:09;226
964 001030713409;;21/9/2022;08:00:05;148
999 000000118906;;21/9/2022;08:01:00;203
964 001030713199;;21/9/2022;08:01:41;164
964 001030713459;;21/9/2022;08:00:34;130
964 001030713471;;21/9/2022;08:02:39;
999 000000118999;;21/9/2022;08:02:27;
999 000000118989;;21/9/2022;08:04:06;229
999 000000118997;;21/9/2022;08:04:54;250
999 000000118982;;21/9/2022;08:05:33;
999 000000118943;;21/9/2022;08:13:59;201
999 000000118937;;21/9/2022;08:15:44;224
999 000000119058;;21/9/2022;08:16:50;273
999 000000119059;;21/9/2022;08:20:24;209
964 001030713447;;21/9/2022;08:22:43;124
999 000000118923;;21/9/2022;08:23:06;285
999 000000118991;;21/9/2022;08:25:00;
999 000000119060;;21/9/2022;08:23:48;22
999 000000118921;;21/9/2022;08:26:40;230
999 000000118949;;21/9/2022;08:28:29;302
999 000000118951;;21/9/2022;08:27:05;
999 000000119061;;21/9/2022;08:27:20;180
999 000000118983;;21/9/2022;08:30:29;207
999 000000118904;;21/9/2022;08:30:12;
999 000000118954;;21/9/2022;08:31:21;218
999 000000118927;;21/9/2022;08:32:35;242
999 000000118936;;21/9/2022;08:33:23;300
999 000000119000;;21/9/2022;08:36:23;165
999 000000118990;;21/9/2022;08:37:56;
999 000000119062;;21/9/2022;08:38:05;223
999 000000118981;;21/9/2022;08:38:36;210
999 000000118961;;21/9/2022;08:40:02;206
999 000000118986;;21/9/2022;08:41:34;240
964 001030713449;;21/9/2022;08:42:17;127
999 000000118993;;21/9/2022;08:44:11;242
999 000000118966;;21/9/2022;08:44:26;290
999 000000118922;;21/9/2022;08:45:53;173
999 000000118931;;21/9/2022;08:47:19;239
999 000000118998;;21/9/2022;08:46:44;149
999 000000118913;;21/9/2022;08:48:26;
999 000000119063;;21/9/2022;08:48:43;225
999 000000119002;;21/9/2022;08:50:01;
999 000000119064;;21/9/2022;08:50:10;251
999 000000118996;;21/9/2022;08:51:05;230
999 000000118940;;21/9/2022;08:52:17;262
999 000000118972;;21/9/2022;08:56:38;204
964 001030713298;;21/9/2022;08:55:30;160
964 001030713443;;21/9/2022;08:55:53;140
